"filename", "language", "TypeScript", "JSON", "JSON with Comments", "Prisma", "Markdown", "JavaScript", "MS SQL", "comment", "blank", "total"
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\users\dto\update-user-role.dto.ts", "TypeScript", 12, 0, 0, 0, 0, 0, 0, 0, 2, 14
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\users\dto\update-user.dto.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 6, 56
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\users\entities\user.entity.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 3, 10, 54
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\users\users.controller.spec.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 5, 21
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\users\users.controller.ts", "TypeScript", 158, 0, 0, 0, 0, 0, 0, 0, 8, 166
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\users\users.module.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\users\users.repository.ts", "TypeScript", 98, 0, 0, 0, 0, 0, 0, 0, 16, 114
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\users\users.service.spec.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 5, 23
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\src\users\users.service.ts", "TypeScript", 52, 0, 0, 0, 0, 0, 0, 0, 15, 67
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\test\app.e2e-spec.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 6, 30
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\test\jest-e2e.json", "JSON", 0, 9, 0, 0, 0, 0, 0, 0, 1, 10
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\tsconfig.build.json", "JSON", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\21651\Desktop\to learn\projects\stage_2026\import-export\tsconfig.json", "JSON with Comments", 0, 0, 26, 0, 0, 0, 0, 0, 1, 27
"Total", "-", 4809, 12286, 26, 205, 33, 33, 154, 183, 948, 18677
